,name,code,sector,series_id,units,year,value,source
99,"Commercial Share of Electric Power Sector CO2 Emissions, Annual",ESCCEUS,Commercial,TOTAL.ESCCEUS.A,Million Metric Tons of Carbon Dioxide,2011,768.439,Electric Power
100,"Commercial Share of Electric Power Sector CO2 Emissions, Annual",ESCCEUS,Commercial,TOTAL.ESCCEUS.A,Million Metric Tons of Carbon Dioxide,2010,804.292,Electric Power
101,"Commercial Share of Electric Power Sector CO2 Emissions, Annual",ESCCEUS,Commercial,TOTAL.ESCCEUS.A,Million Metric Tons of Carbon Dioxide,2009,784.047,Electric Power
138,"HGL Commercial Sector CO2 Emissions, Annual",HLCCEUS,Commercial,TOTAL.HLCCEUS.A,Million Metric Tons of Carbon Dioxide,2018,11.018,HGL
139,"HGL Commercial Sector CO2 Emissions, Annual",HLCCEUS,Commercial,TOTAL.HLCCEUS.A,Million Metric Tons of Carbon Dioxide,2017,9.806,HGL
140,"HGL Commercial Sector CO2 Emissions, Annual",HLCCEUS,Commercial,TOTAL.HLCCEUS.A,Million Metric Tons of Carbon Dioxide,2016,9.449,HGL
141,"HGL Commercial Sector CO2 Emissions, Annual",HLCCEUS,Commercial,TOTAL.HLCCEUS.A,Million Metric Tons of Carbon Dioxide,2015,9.324,HGL
142,"HGL Commercial Sector CO2 Emissions, Annual",HLCCEUS,Commercial,TOTAL.HLCCEUS.A,Million Metric Tons of Carbon Dioxide,2014,10.108,HGL
143,"HGL Commercial Sector CO2 Emissions, Annual",HLCCEUS,Commercial,TOTAL.HLCCEUS.A,Million Metric Tons of Carbon Dioxide,2013,9.55,HGL
144,"HGL Commercial Sector CO2 Emissions, Annual",HLCCEUS,Commercial,TOTAL.HLCCEUS.A,Million Metric Tons of Carbon Dioxide,2012,8.537,HGL
145,"HGL Commercial Sector CO2 Emissions, Annual",HLCCEUS,Commercial,TOTAL.HLCCEUS.A,Million Metric Tons of Carbon Dioxide,2011,8.977,HGL
146,"HGL Commercial Sector CO2 Emissions, Annual",HLCCEUS,Commercial,TOTAL.HLCCEUS.A,Million Metric Tons of Carbon Dioxide,2010,8.819,HGL
147,"HGL Commercial Sector CO2 Emissions, Annual",HLCCEUS,Commercial,TOTAL.HLCCEUS.A,Million Metric Tons of Carbon Dioxide,2009,8.758,HGL
184,"Kerosene Commercial Sector CO2 Emissions, Annual",KSCCEUS,Commercial,TOTAL.KSCCEUS.A,Million Metric Tons of Carbon Dioxide,2018,0.084,Kerosene
185,"Kerosene Commercial Sector CO2 Emissions, Annual",KSCCEUS,Commercial,TOTAL.KSCCEUS.A,Million Metric Tons of Carbon Dioxide,2017,0.086,Kerosene
186,"Kerosene Commercial Sector CO2 Emissions, Annual",KSCCEUS,Commercial,TOTAL.KSCCEUS.A,Million Metric Tons of Carbon Dioxide,2016,0.15,Kerosene
187,"Kerosene Commercial Sector CO2 Emissions, Annual",KSCCEUS,Commercial,TOTAL.KSCCEUS.A,Million Metric Tons of Carbon Dioxide,2015,0.099,Kerosene
188,"Kerosene Commercial Sector CO2 Emissions, Annual",KSCCEUS,Commercial,TOTAL.KSCCEUS.A,Million Metric Tons of Carbon Dioxide,2014,0.148,Kerosene
189,"Kerosene Commercial Sector CO2 Emissions, Annual",KSCCEUS,Commercial,TOTAL.KSCCEUS.A,Million Metric Tons of Carbon Dioxide,2013,0.074,Kerosene
190,"Kerosene Commercial Sector CO2 Emissions, Annual",KSCCEUS,Commercial,TOTAL.KSCCEUS.A,Million Metric Tons of Carbon Dioxide,2012,0.087,Kerosene
191,"Kerosene Commercial Sector CO2 Emissions, Annual",KSCCEUS,Commercial,TOTAL.KSCCEUS.A,Million Metric Tons of Carbon Dioxide,2011,0.231,Kerosene
192,"Kerosene Commercial Sector CO2 Emissions, Annual",KSCCEUS,Commercial,TOTAL.KSCCEUS.A,Million Metric Tons of Carbon Dioxide,2010,0.349,Kerosene
193,"Kerosene Commercial Sector CO2 Emissions, Annual",KSCCEUS,Commercial,TOTAL.KSCCEUS.A,Million Metric Tons of Carbon Dioxide,2009,0.305,Kerosene
230,"Motor Gasoline, Excluding Ethanol, Commercial Sector CO2 Emissions, Annual",MMCCEUS,Commercial,TOTAL.MMCCEUS.A,Million Metric Tons of Carbon Dioxide,2018,23.911,Motor Gasoline
231,"Motor Gasoline, Excluding Ethanol, Commercial Sector CO2 Emissions, Annual",MMCCEUS,Commercial,TOTAL.MMCCEUS.A,Million Metric Tons of Carbon Dioxide,2017,23.918,Motor Gasoline
232,"Motor Gasoline, Excluding Ethanol, Commercial Sector CO2 Emissions, Annual",MMCCEUS,Commercial,TOTAL.MMCCEUS.A,Million Metric Tons of Carbon Dioxide,2016,24.863,Motor Gasoline
233,"Motor Gasoline, Excluding Ethanol, Commercial Sector CO2 Emissions, Annual",MMCCEUS,Commercial,TOTAL.MMCCEUS.A,Million Metric Tons of Carbon Dioxide,2015,24.969,Motor Gasoline
234,"Motor Gasoline, Excluding Ethanol, Commercial Sector CO2 Emissions, Annual",MMCCEUS,Commercial,TOTAL.MMCCEUS.A,Million Metric Tons of Carbon Dioxide,2014,3.577,Motor Gasoline
235,"Motor Gasoline, Excluding Ethanol, Commercial Sector CO2 Emissions, Annual",MMCCEUS,Commercial,TOTAL.MMCCEUS.A,Million Metric Tons of Carbon Dioxide,2013,2.652,Motor Gasoline
236,"Motor Gasoline, Excluding Ethanol, Commercial Sector CO2 Emissions, Annual",MMCCEUS,Commercial,TOTAL.MMCCEUS.A,Million Metric Tons of Carbon Dioxide,2012,2.569,Motor Gasoline
237,"Motor Gasoline, Excluding Ethanol, Commercial Sector CO2 Emissions, Annual",MMCCEUS,Commercial,TOTAL.MMCCEUS.A,Million Metric Tons of Carbon Dioxide,2011,2.932,Motor Gasoline
238,"Motor Gasoline, Excluding Ethanol, Commercial Sector CO2 Emissions, Annual",MMCCEUS,Commercial,TOTAL.MMCCEUS.A,Million Metric Tons of Carbon Dioxide,2010,3.457,Motor Gasoline
239,"Motor Gasoline, Excluding Ethanol, Commercial Sector CO2 Emissions, Annual",MMCCEUS,Commercial,TOTAL.MMCCEUS.A,Million Metric Tons of Carbon Dioxide,2009,3.492,Motor Gasoline
276,"Natural Gas, Excluding Supplemental Gaseous Fuels, Commercial Sector CO2 Emissions, Annual",NNCCEUS,Commercial,TOTAL.NNCCEUS.A,Million Metric Tons of Carbon Dioxide,2018,191.01,Natural Gas
277,"Natural Gas, Excluding Supplemental Gaseous Fuels, Commercial Sector CO2 Emissions, Annual",NNCCEUS,Commercial,TOTAL.NNCCEUS.A,Million Metric Tons of Carbon Dioxide,2017,173.625,Natural Gas
278,"Natural Gas, Excluding Supplemental Gaseous Fuels, Commercial Sector CO2 Emissions, Annual",NNCCEUS,Commercial,TOTAL.NNCCEUS.A,Million Metric Tons of Carbon Dioxide,2016,171.029,Natural Gas
279,"Natural Gas, Excluding Supplemental Gaseous Fuels, Commercial Sector CO2 Emissions, Annual",NNCCEUS,Commercial,TOTAL.NNCCEUS.A,Million Metric Tons of Carbon Dioxide,2015,175.914,Natural Gas
280,"Natural Gas, Excluding Supplemental Gaseous Fuels, Commercial Sector CO2 Emissions, Annual",NNCCEUS,Commercial,TOTAL.NNCCEUS.A,Million Metric Tons of Carbon Dioxide,2014,189.514,Natural Gas
281,"Natural Gas, Excluding Supplemental Gaseous Fuels, Commercial Sector CO2 Emissions, Annual",NNCCEUS,Commercial,TOTAL.NNCCEUS.A,Million Metric Tons of Carbon Dioxide,2013,179.321,Natural Gas
282,"Natural Gas, Excluding Supplemental Gaseous Fuels, Commercial Sector CO2 Emissions, Annual",NNCCEUS,Commercial,TOTAL.NNCCEUS.A,Million Metric Tons of Carbon Dioxide,2012,157.022,Natural Gas
283,"Natural Gas, Excluding Supplemental Gaseous Fuels, Commercial Sector CO2 Emissions, Annual",NNCCEUS,Commercial,TOTAL.NNCCEUS.A,Million Metric Tons of Carbon Dioxide,2011,170.636,Natural Gas
284,"Natural Gas, Excluding Supplemental Gaseous Fuels, Commercial Sector CO2 Emissions, Annual",NNCCEUS,Commercial,TOTAL.NNCCEUS.A,Million Metric Tons of Carbon Dioxide,2010,167.907,Natural Gas
285,"Natural Gas, Excluding Supplemental Gaseous Fuels, Commercial Sector CO2 Emissions, Annual",NNCCEUS,Commercial,TOTAL.NNCCEUS.A,Million Metric Tons of Carbon Dioxide,2009,169.07,Natural Gas
322,"Petroleum Coke Commercial Sector CO2 Emissions, Annual",PCCCEUS,Commercial,TOTAL.PCCCEUS.A,Million Metric Tons of Carbon Dioxide,2018,0.036,Petroleum Coke
323,"Petroleum Coke Commercial Sector CO2 Emissions, Annual",PCCCEUS,Commercial,TOTAL.PCCCEUS.A,Million Metric Tons of Carbon Dioxide,2017,0.051,Petroleum Coke
324,"Petroleum Coke Commercial Sector CO2 Emissions, Annual",PCCCEUS,Commercial,TOTAL.PCCCEUS.A,Million Metric Tons of Carbon Dioxide,2016,0.03,Petroleum Coke
325,"Petroleum Coke Commercial Sector CO2 Emissions, Annual",PCCCEUS,Commercial,TOTAL.PCCCEUS.A,Million Metric Tons of Carbon Dioxide,2015,0.053,Petroleum Coke
326,"Petroleum Coke Commercial Sector CO2 Emissions, Annual",PCCCEUS,Commercial,TOTAL.PCCCEUS.A,Million Metric Tons of Carbon Dioxide,2014,0.054,Petroleum Coke
327,"Petroleum Coke Commercial Sector CO2 Emissions, Annual",PCCCEUS,Commercial,TOTAL.PCCCEUS.A,Million Metric Tons of Carbon Dioxide,2013,0.036,Petroleum Coke
328,"Petroleum Coke Commercial Sector CO2 Emissions, Annual",PCCCEUS,Commercial,TOTAL.PCCCEUS.A,Million Metric Tons of Carbon Dioxide,2012,0.037,Petroleum Coke
329,"Petroleum Coke Commercial Sector CO2 Emissions, Annual",PCCCEUS,Commercial,TOTAL.PCCCEUS.A,Million Metric Tons of Carbon Dioxide,2011,0.019,Petroleum Coke
330,"Petroleum Coke Commercial Sector CO2 Emissions, Annual",PCCCEUS,Commercial,TOTAL.PCCCEUS.A,Million Metric Tons of Carbon Dioxide,2010,0.035,Petroleum Coke
331,"Petroleum Coke Commercial Sector CO2 Emissions, Annual",PCCCEUS,Commercial,TOTAL.PCCCEUS.A,Million Metric Tons of Carbon Dioxide,2009,0.025,Petroleum Coke
368,"Petroleum, Excluding Biofuels, Commercial Sector CO2 Emissions, Annual",PMCCEUS,Commercial,TOTAL.PMCCEUS.A,Million Metric Tons of Carbon Dioxide,2018,60.097,Petroleum
369,"Petroleum, Excluding Biofuels, Commercial Sector CO2 Emissions, Annual",PMCCEUS,Commercial,TOTAL.PMCCEUS.A,Million Metric Tons of Carbon Dioxide,2017,57.768,Petroleum
370,"Petroleum, Excluding Biofuels, Commercial Sector CO2 Emissions, Annual",PMCCEUS,Commercial,TOTAL.PMCCEUS.A,Million Metric Tons of Carbon Dioxide,2016,58.702,Petroleum
371,"Petroleum, Excluding Biofuels, Commercial Sector CO2 Emissions, Annual",PMCCEUS,Commercial,TOTAL.PMCCEUS.A,Million Metric Tons of Carbon Dioxide,2015,61.094,Petroleum
372,"Petroleum, Excluding Biofuels, Commercial Sector CO2 Emissions, Annual",PMCCEUS,Commercial,TOTAL.PMCCEUS.A,Million Metric Tons of Carbon Dioxide,2014,40.592,Petroleum
373,"Petroleum, Excluding Biofuels, Commercial Sector CO2 Emissions, Annual",PMCCEUS,Commercial,TOTAL.PMCCEUS.A,Million Metric Tons of Carbon Dioxide,2013,39.364,Petroleum
374,"Petroleum, Excluding Biofuels, Commercial Sector CO2 Emissions, Annual",PMCCEUS,Commercial,TOTAL.PMCCEUS.A,Million Metric Tons of Carbon Dioxide,2012,39.683,Petroleum
375,"Petroleum, Excluding Biofuels, Commercial Sector CO2 Emissions, Annual",PMCCEUS,Commercial,TOTAL.PMCCEUS.A,Million Metric Tons of Carbon Dioxide,2011,45.027,Petroleum
376,"Petroleum, Excluding Biofuels, Commercial Sector CO2 Emissions, Annual",PMCCEUS,Commercial,TOTAL.PMCCEUS.A,Million Metric Tons of Carbon Dioxide,2010,46.137,Petroleum
377,"Petroleum, Excluding Biofuels, Commercial Sector CO2 Emissions, Annual",PMCCEUS,Commercial,TOTAL.PMCCEUS.A,Million Metric Tons of Carbon Dioxide,2009,47.1,Petroleum
414,"Residual Fuel Oil Commercial Sector CO2 Emissions, Annual",RFCCEUS,Commercial,TOTAL.RFCCEUS.A,Million Metric Tons of Carbon Dioxide,2018,0.278,Residual Fuel
415,"Residual Fuel Oil Commercial Sector CO2 Emissions, Annual",RFCCEUS,Commercial,TOTAL.RFCCEUS.A,Million Metric Tons of Carbon Dioxide,2017,0.302,Residual Fuel
416,"Residual Fuel Oil Commercial Sector CO2 Emissions, Annual",RFCCEUS,Commercial,TOTAL.RFCCEUS.A,Million Metric Tons of Carbon Dioxide,2016,0.35,Residual Fuel
417,"Residual Fuel Oil Commercial Sector CO2 Emissions, Annual",RFCCEUS,Commercial,TOTAL.RFCCEUS.A,Million Metric Tons of Carbon Dioxide,2015,0.313,Residual Fuel
418,"Residual Fuel Oil Commercial Sector CO2 Emissions, Annual",RFCCEUS,Commercial,TOTAL.RFCCEUS.A,Million Metric Tons of Carbon Dioxide,2014,0.626,Residual Fuel
419,"Residual Fuel Oil Commercial Sector CO2 Emissions, Annual",RFCCEUS,Commercial,TOTAL.RFCCEUS.A,Million Metric Tons of Carbon Dioxide,2013,1.923,Residual Fuel
420,"Residual Fuel Oil Commercial Sector CO2 Emissions, Annual",RFCCEUS,Commercial,TOTAL.RFCCEUS.A,Million Metric Tons of Carbon Dioxide,2012,2.474,Residual Fuel
421,"Residual Fuel Oil Commercial Sector CO2 Emissions, Annual",RFCCEUS,Commercial,TOTAL.RFCCEUS.A,Million Metric Tons of Carbon Dioxide,2011,4.235,Residual Fuel
422,"Residual Fuel Oil Commercial Sector CO2 Emissions, Annual",RFCCEUS,Commercial,TOTAL.RFCCEUS.A,Million Metric Tons of Carbon Dioxide,2010,4.861,Residual Fuel
423,"Residual Fuel Oil Commercial Sector CO2 Emissions, Annual",RFCCEUS,Commercial,TOTAL.RFCCEUS.A,Million Metric Tons of Carbon Dioxide,2009,5.617,Residual Fuel
460,"Total Energy Commercial Sector CO2 Emissions, Annual",TECCEUS,Commercial,TOTAL.TECCEUS.A,Million Metric Tons of Carbon Dioxide,2018,891.142,Total Energy
461,"Total Energy Commercial Sector CO2 Emissions, Annual",TECCEUS,Commercial,TOTAL.TECCEUS.A,Million Metric Tons of Carbon Dioxide,2017,866.607,Total Energy
462,"Total Energy Commercial Sector CO2 Emissions, Annual",TECCEUS,Commercial,TOTAL.TECCEUS.A,Million Metric Tons of Carbon Dioxide,2016,893.779,Total Energy
463,"Total Energy Commercial Sector CO2 Emissions, Annual",TECCEUS,Commercial,TOTAL.TECCEUS.A,Million Metric Tons of Carbon Dioxide,2015,932.296,Total Energy
464,"Total Energy Commercial Sector CO2 Emissions, Annual",TECCEUS,Commercial,TOTAL.TECCEUS.A,Million Metric Tons of Carbon Dioxide,2014,970.155,Total Energy
465,"Total Energy Commercial Sector CO2 Emissions, Annual",TECCEUS,Commercial,TOTAL.TECCEUS.A,Million Metric Tons of Carbon Dioxide,2013,958.421,Total Energy
466,"Total Energy Commercial Sector CO2 Emissions, Annual",TECCEUS,Commercial,TOTAL.TECCEUS.A,Million Metric Tons of Carbon Dioxide,2012,931.547,Total Energy
467,"Total Energy Commercial Sector CO2 Emissions, Annual",TECCEUS,Commercial,TOTAL.TECCEUS.A,Million Metric Tons of Carbon Dioxide,2011,989.92,Total Energy
468,"Total Energy Commercial Sector CO2 Emissions, Annual",TECCEUS,Commercial,TOTAL.TECCEUS.A,Million Metric Tons of Carbon Dioxide,2010,1024.903,Total Energy
469,"Total Energy Commercial Sector CO2 Emissions, Annual",TECCEUS,Commercial,TOTAL.TECCEUS.A,Million Metric Tons of Carbon Dioxide,2009,1007.134,Total Energy
0,"Coal Residential Sector CO2 Emissions, Annual",CLRCEUS,Residental,TOTAL.CLRCEUS.A,Million Metric Tons of Carbon Dioxide,2018,,Coal
1,"Coal Residential Sector CO2 Emissions, Annual",CLRCEUS,Residental,TOTAL.CLRCEUS.A,Million Metric Tons of Carbon Dioxide,2017,,Coal
2,"Coal Residential Sector CO2 Emissions, Annual",CLRCEUS,Residental,TOTAL.CLRCEUS.A,Million Metric Tons of Carbon Dioxide,2016,,Coal
3,"Coal Residential Sector CO2 Emissions, Annual",CLRCEUS,Residental,TOTAL.CLRCEUS.A,Million Metric Tons of Carbon Dioxide,2015,,Coal
4,"Coal Residential Sector CO2 Emissions, Annual",CLRCEUS,Residental,TOTAL.CLRCEUS.A,Million Metric Tons of Carbon Dioxide,2014,,Coal
5,"Coal Residential Sector CO2 Emissions, Annual",CLRCEUS,Residental,TOTAL.CLRCEUS.A,Million Metric Tons of Carbon Dioxide,2013,,Coal
6,"Coal Residential Sector CO2 Emissions, Annual",CLRCEUS,Residental,TOTAL.CLRCEUS.A,Million Metric Tons of Carbon Dioxide,2012,,Coal
7,"Coal Residential Sector CO2 Emissions, Annual",CLRCEUS,Residental,TOTAL.CLRCEUS.A,Million Metric Tons of Carbon Dioxide,2011,,Coal
8,"Coal Residential Sector CO2 Emissions, Annual",CLRCEUS,Residental,TOTAL.CLRCEUS.A,Million Metric Tons of Carbon Dioxide,2010,,Coal
9,"Coal Residential Sector CO2 Emissions, Annual",CLRCEUS,Residental,TOTAL.CLRCEUS.A,Million Metric Tons of Carbon Dioxide,2009,,Coal
46,"Distillate Fuel Oil Residential Sector CO2 Emissions, Annual",DFRCEUS,Residental,TOTAL.DFRCEUS.A,Million Metric Tons of Carbon Dioxide,2018,33.188,Distillate Fuel Oil
47,"Distillate Fuel Oil Residential Sector CO2 Emissions, Annual",DFRCEUS,Residental,TOTAL.DFRCEUS.A,Million Metric Tons of Carbon Dioxide,2017,31.629,Distillate Fuel Oil
48,"Distillate Fuel Oil Residential Sector CO2 Emissions, Annual",DFRCEUS,Residental,TOTAL.DFRCEUS.A,Million Metric Tons of Carbon Dioxide,2016,31.802,Distillate Fuel Oil
49,"Distillate Fuel Oil Residential Sector CO2 Emissions, Annual",DFRCEUS,Residental,TOTAL.DFRCEUS.A,Million Metric Tons of Carbon Dioxide,2015,40.329,Distillate Fuel Oil
50,"Distillate Fuel Oil Residential Sector CO2 Emissions, Annual",DFRCEUS,Residental,TOTAL.DFRCEUS.A,Million Metric Tons of Carbon Dioxide,2014,38.988,Distillate Fuel Oil
51,"Distillate Fuel Oil Residential Sector CO2 Emissions, Annual",DFRCEUS,Residental,TOTAL.DFRCEUS.A,Million Metric Tons of Carbon Dioxide,2013,35.949,Distillate Fuel Oil
52,"Distillate Fuel Oil Residential Sector CO2 Emissions, Annual",DFRCEUS,Residental,TOTAL.DFRCEUS.A,Million Metric Tons of Carbon Dioxide,2012,35.282,Distillate Fuel Oil
53,"Distillate Fuel Oil Residential Sector CO2 Emissions, Annual",DFRCEUS,Residental,TOTAL.DFRCEUS.A,Million Metric Tons of Carbon Dioxide,2011,38.235,Distillate Fuel Oil
54,"Distillate Fuel Oil Residential Sector CO2 Emissions, Annual",DFRCEUS,Residental,TOTAL.DFRCEUS.A,Million Metric Tons of Carbon Dioxide,2010,41.074,Distillate Fuel Oil
55,"Distillate Fuel Oil Residential Sector CO2 Emissions, Annual",DFRCEUS,Residental,TOTAL.DFRCEUS.A,Million Metric Tons of Carbon Dioxide,2009,42.587,Distillate Fuel Oil
92,"HGL Residential Sector CO2 Emissions, Annual",HLRCEUS,Residental,TOTAL.HLRCEUS.A,Million Metric Tons of Carbon Dioxide,2018,30.483,HGL
93,"HGL Residential Sector CO2 Emissions, Annual",HLRCEUS,Residental,TOTAL.HLRCEUS.A,Million Metric Tons of Carbon Dioxide,2017,27.13,HGL
94,"HGL Residential Sector CO2 Emissions, Annual",HLRCEUS,Residental,TOTAL.HLRCEUS.A,Million Metric Tons of Carbon Dioxide,2016,27.078,HGL
95,"HGL Residential Sector CO2 Emissions, Annual",HLRCEUS,Residental,TOTAL.HLRCEUS.A,Million Metric Tons of Carbon Dioxide,2015,28.075,HGL
96,"HGL Residential Sector CO2 Emissions, Annual",HLRCEUS,Residental,TOTAL.HLRCEUS.A,Million Metric Tons of Carbon Dioxide,2014,30.835,HGL
97,"HGL Residential Sector CO2 Emissions, Annual",HLRCEUS,Residental,TOTAL.HLRCEUS.A,Million Metric Tons of Carbon Dioxide,2013,29.194,HGL
98,"HGL Residential Sector CO2 Emissions, Annual",HLRCEUS,Residental,TOTAL.HLRCEUS.A,Million Metric Tons of Carbon Dioxide,2012,24.916,HGL
99,"HGL Residential Sector CO2 Emissions, Annual",HLRCEUS,Residental,TOTAL.HLRCEUS.A,Million Metric Tons of Carbon Dioxide,2011,31.029,HGL
100,"HGL Residential Sector CO2 Emissions, Annual",HLRCEUS,Residental,TOTAL.HLRCEUS.A,Million Metric Tons of Carbon Dioxide,2010,33.374,HGL
101,"HGL Residential Sector CO2 Emissions, Annual",HLRCEUS,Residental,TOTAL.HLRCEUS.A,Million Metric Tons of Carbon Dioxide,2009,34.504,HGL
138,"Kerosene Residential Sector CO2 Emissions, Annual",KSRCEUS,Residental,TOTAL.KSRCEUS.A,Million Metric Tons of Carbon Dioxide,2018,0.597,Kerosene
139,"Kerosene Residential Sector CO2 Emissions, Annual",KSRCEUS,Residental,TOTAL.KSRCEUS.A,Million Metric Tons of Carbon Dioxide,2017,0.608,Kerosene
140,"Kerosene Residential Sector CO2 Emissions, Annual",KSRCEUS,Residental,TOTAL.KSRCEUS.A,Million Metric Tons of Carbon Dioxide,2016,0.987,Kerosene
141,"Kerosene Residential Sector CO2 Emissions, Annual",KSRCEUS,Residental,TOTAL.KSRCEUS.A,Million Metric Tons of Carbon Dioxide,2015,0.732,Kerosene
142,"Kerosene Residential Sector CO2 Emissions, Annual",KSRCEUS,Residental,TOTAL.KSRCEUS.A,Million Metric Tons of Carbon Dioxide,2014,0.994,Kerosene
143,"Kerosene Residential Sector CO2 Emissions, Annual",KSRCEUS,Residental,TOTAL.KSRCEUS.A,Million Metric Tons of Carbon Dioxide,2013,0.597,Kerosene
144,"Kerosene Residential Sector CO2 Emissions, Annual",KSRCEUS,Residental,TOTAL.KSRCEUS.A,Million Metric Tons of Carbon Dioxide,2012,0.559,Kerosene
145,"Kerosene Residential Sector CO2 Emissions, Annual",KSRCEUS,Residental,TOTAL.KSRCEUS.A,Million Metric Tons of Carbon Dioxide,2011,1.34,Kerosene
146,"Kerosene Residential Sector CO2 Emissions, Annual",KSRCEUS,Residental,TOTAL.KSRCEUS.A,Million Metric Tons of Carbon Dioxide,2010,2.104,Kerosene
147,"Kerosene Residential Sector CO2 Emissions, Annual",KSRCEUS,Residental,TOTAL.KSRCEUS.A,Million Metric Tons of Carbon Dioxide,2009,2.002,Kerosene
184,"Natural Gas, Excluding Supplemental Gaseous Fuels, Residential Sector CO2 Emissions, Annual",NNRCEUS,Residental,TOTAL.NNRCEUS.A,Million Metric Tons of Carbon Dioxide,2018,273.304,Natural Gas
185,"Natural Gas, Excluding Supplemental Gaseous Fuels, Residential Sector CO2 Emissions, Annual",NNRCEUS,Residental,TOTAL.NNRCEUS.A,Million Metric Tons of Carbon Dioxide,2017,242.119,Natural Gas
186,"Natural Gas, Excluding Supplemental Gaseous Fuels, Residential Sector CO2 Emissions, Annual",NNRCEUS,Residental,TOTAL.NNRCEUS.A,Million Metric Tons of Carbon Dioxide,2016,239.065,Natural Gas
187,"Natural Gas, Excluding Supplemental Gaseous Fuels, Residential Sector CO2 Emissions, Annual",NNRCEUS,Residental,TOTAL.NNRCEUS.A,Million Metric Tons of Carbon Dioxide,2015,253.448,Natural Gas
188,"Natural Gas, Excluding Supplemental Gaseous Fuels, Residential Sector CO2 Emissions, Annual",NNRCEUS,Residental,TOTAL.NNRCEUS.A,Million Metric Tons of Carbon Dioxide,2014,278.149,Natural Gas
189,"Natural Gas, Excluding Supplemental Gaseous Fuels, Residential Sector CO2 Emissions, Annual",NNRCEUS,Residental,TOTAL.NNRCEUS.A,Million Metric Tons of Carbon Dioxide,2013,266.501,Natural Gas
190,"Natural Gas, Excluding Supplemental Gaseous Fuels, Residential Sector CO2 Emissions, Annual",NNRCEUS,Residental,TOTAL.NNRCEUS.A,Million Metric Tons of Carbon Dioxide,2012,225.071,Natural Gas
191,"Natural Gas, Excluding Supplemental Gaseous Fuels, Residential Sector CO2 Emissions, Annual",NNRCEUS,Residental,TOTAL.NNRCEUS.A,Million Metric Tons of Carbon Dioxide,2011,254.915,Natural Gas
192,"Natural Gas, Excluding Supplemental Gaseous Fuels, Residential Sector CO2 Emissions, Annual",NNRCEUS,Residental,TOTAL.NNRCEUS.A,Million Metric Tons of Carbon Dioxide,2010,258.816,Natural Gas
193,"Natural Gas, Excluding Supplemental Gaseous Fuels, Residential Sector CO2 Emissions, Annual",NNRCEUS,Residental,TOTAL.NNRCEUS.A,Million Metric Tons of Carbon Dioxide,2009,259.082,Natural Gas
230,"Petroleum Residential Sector CO2 Emissions, Annual",PARCEUS,Residental,TOTAL.PARCEUS.A,Million Metric Tons of Carbon Dioxide,2018,64.269,Petroleum
231,"Petroleum Residential Sector CO2 Emissions, Annual",PARCEUS,Residental,TOTAL.PARCEUS.A,Million Metric Tons of Carbon Dioxide,2017,59.366,Petroleum
232,"Petroleum Residential Sector CO2 Emissions, Annual",PARCEUS,Residental,TOTAL.PARCEUS.A,Million Metric Tons of Carbon Dioxide,2016,59.867,Petroleum
233,"Petroleum Residential Sector CO2 Emissions, Annual",PARCEUS,Residental,TOTAL.PARCEUS.A,Million Metric Tons of Carbon Dioxide,2015,69.136,Petroleum
234,"Petroleum Residential Sector CO2 Emissions, Annual",PARCEUS,Residental,TOTAL.PARCEUS.A,Million Metric Tons of Carbon Dioxide,2014,70.817,Petroleum
235,"Petroleum Residential Sector CO2 Emissions, Annual",PARCEUS,Residental,TOTAL.PARCEUS.A,Million Metric Tons of Carbon Dioxide,2013,65.74,Petroleum
236,"Petroleum Residential Sector CO2 Emissions, Annual",PARCEUS,Residental,TOTAL.PARCEUS.A,Million Metric Tons of Carbon Dioxide,2012,60.758,Petroleum
237,"Petroleum Residential Sector CO2 Emissions, Annual",PARCEUS,Residental,TOTAL.PARCEUS.A,Million Metric Tons of Carbon Dioxide,2011,70.604,Petroleum
238,"Petroleum Residential Sector CO2 Emissions, Annual",PARCEUS,Residental,TOTAL.PARCEUS.A,Million Metric Tons of Carbon Dioxide,2010,76.552,Petroleum
239,"Petroleum Residential Sector CO2 Emissions, Annual",PARCEUS,Residental,TOTAL.PARCEUS.A,Million Metric Tons of Carbon Dioxide,2009,79.093,Petroleum
276,"Residential Share of Electric Power Sector CO2 Emissions, Annual",ESRCEUS,Residental,TOTAL.ESRCEUS.A,Million Metric Tons of Carbon Dioxide,2018,678.904,Residentials
